Ngành,Vốn hóa,% vốn hóa,% Index (D),% Index (YTD),Số mã
Tất cả,9350161.22,100%,-0.11%,+44.78%,1596
Tài chính,3283729.88,35.12%,-1.14%,+27.41%,105
Bất động sản,2011510.68,21.51%,+0.73%,+141.62%,132
Công nghiệp,1066293.69,11.40%,-1.06%,+30.07%,401
Tiêu dùng thiết yếu,725733.69,7.76%,+0.70%,+2.81%,167
Nguyên vật liệu,640929.89,6.85%,-0.05%,+11.39%,283
Tiện ích,453498.28,4.85%,-0.21%,+3.28%,154
Tiêu dùng không thiết yếu,443132.29,4.74%,+1.30%,+27.40%,186
Dịch vụ truyền thông,287610.16,3.08%,+3.37%,-24.18%,41
Năng lượng,191887.5,2.05%,-0.24%,-2.01%,53
Công nghệ thông tin,175313.63,1.87%,+2.84%,-24.82%,16
Chăm sóc sức khỏe,70521.53,0.75%,-0.44%,+6.97%,58
