STT,Ngày,Mã CK,Tham chiếu,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Trung bình,Thay đổi +/-, Thay đổi %,GD Khớp lệnh KL,GD Khớp lệnh GT,GD thỏa thuận KL,GD thỏa thuận GT,Tổng giao dịch KL, Tổng giao dịch GT,Vốn hóa thị trường
1,24/10/2025,AAA,7.69,7.7,7.64,7.7,7.55,7.61,-50,-0.65,879600,6692,0,0,879600,6692,3008194
2,24/10/2025,AAM,7.0,7.06,7.03,7.06,7.03,7.05,30,0.43,10500,74,0,0,10500,74,73472
3,24/10/2025,AAT,3.49,3.59,3.59,3.59,3.37,3.48,100,2.87,45200,157,0,0,45200,157,254241
4,24/10/2025,ABR,13.25,13.25,13.45,13.45,13.2,13.38,200,1.51,1700,23,0,0,1700,23,269000
5,24/10/2025,ABS,2.92,2.92,2.95,2.98,2.92,2.95,30,1.03,152000,446,0,0,152000,446,236000
6,24/10/2025,ABT,64.8,63.7,64.0,64.0,63.7,63.91,-800,-1.23,1800,115,0,0,1800,115,753744
7,24/10/2025,ACB,24.95,24.95,25.0,25.3,24.8,25.02,50,0.20,11724500,292992,6000000,150938,17724500,443930,128416415
8,24/10/2025,ACC,13.3,12.9,13.4,13.45,12.9,13.31,100,0.75,3200,42,200000,2480,203200,2522,1407000
9,24/10/2025,ACG,35.2,36.75,35.55,36.75,35.25,35.71,350,0.99,400,14,0,0,400,14,5360511
10,24/10/2025,ACL,13.45,13.3,13.5,13.5,13.05,13.23,50,0.37,9500,125,0,0,9500,125,677147
11,24/10/2025,ADG,8.9,9.16,8.71,9.3,8.31,8.92,-190,-2.13,3000,27,0,0,3000,27,186224
12,24/10/2025,ADP,23.15,22.9,23.2,23.6,22.5,22.85,50,0.22,25900,591,0,0,25900,591,534525
13,24/10/2025,ADS,8.04,8.29,8.07,8.29,8.0,8.06,30,0.37,62500,504,0,0,62500,504,616505
14,24/10/2025,AGG,16.1,16.1,15.95,16.1,15.7,15.83,-150,-0.93,291600,4628,0,0,291600,4628,2592323
15,24/10/2025,AGR,16.0,16.15,15.85,16.15,15.75,15.88,-150,-0.94,418800,6647,0,0,418800,6647,3618742
16,24/10/2025,ANV,30.3,30.3,29.1,30.4,28.4,29.03,-1200,-3.96,2260200,65604,0,0,2260200,65604,7748042
17,24/10/2025,APG,11.7,11.6,11.7,11.7,11.55,11.62,-,-,277800,3234,0,0,277800,3234,2616377
18,24/10/2025,APH,6.22,6.25,6.2,6.25,6.18,6.22,-20,-0.32,140100,871,0,0,140100,871,1512082
19,24/10/2025,ASG,16.9,16.5,16.5,16.5,16.5,16.5,-400,-2.37,300,5,0,0,300,5,1497947
20,24/10/2025,ASM,6.8,6.81,6.76,6.83,6.69,6.74,-40,-0.59,325000,2191,0,0,325000,2191,2502405
