Ngành,Hôm nay,1 tuần,1 tháng,6 tháng,Từ đầu năm,1 năm,5 năm,10 năm
Năng lượng,-0.24%,-0.81%,-1.10%,35.12%,-2.01%,7.72%,672.15%,395.07%
Nguyên vật liệu,-0.05%,-3.97%,-3.55%,18.77%,11.39%,13.95%,168.44%,541.88%
Công nghiệp,-1.06%,-2.92%,1.54%,32.87%,30.07%,49.89%,526.16%,"2,892.25%"
Tiêu dùng không thiết yếu,1.30%,0.36%,4.15%,30.93%,27.40%,26.73%,164.19%,400.50%
Tiêu dùng thiết yếu,0.70%,-4.21%,1.67%,20.42%,2.81%,15.97%,106.86%,347.94%
Chăm sóc sức khỏe,-0.44%,0.80%,2.29%,13.60%,6.97%,13.67%,158.91%,595.00%
Tài chính,-1.14%,-7.77%,-2.99%,30.51%,27.41%,27.98%,167.09%,399.00%
Công nghệ thông tin,2.84%,8.35%,-0.30%,4.14%,-24.82%,-14.34%,304.68%,957.07%
Dịch vụ truyền thông,3.37%,4.87%,-4.07%,-1.77%,-24.18%,2.44%,709.88%,"3,931.25%"
Tiện ích,-0.21%,-0.75%,-2.08%,8.97%,3.28%,2.93%,119.97%,416.23%
Bất động sản,0.73%,-2.59%,22.00%,114.36%,141.62%,134.21%,128.31%,586.06%
